Id;Tipo Muert.;Provincia;Canton;Area del Hecho;Lugar;Tipo Lugar;Fecha InfracciÛn;Hora Infraccion;Arma;Tipo Arma;Probable Causa M.;Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anos;Mes
1;ASESINATO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;03:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;45;HOMBRE;MESTIZO/A;NO DETERMINADO;OTROS;2023;enero
2;ASESINATO;LOS RIOS;URDANETA;URBANO;VIA PUBLICA;PUBLICO;1/1/23;04:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
3;HOMICIDIO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;09:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
4;HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;05:00;ARMA CONTUNDENTE;OTRO;HERIDAS CONTUSAS;33;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
5;ASESINATO;GUAYAS;NARANJITO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;06:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
6;ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;1/1/23;07:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
7;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/23;00:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
8;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/23;00:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;3;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
9;ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;1/1/23;03:25;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
10;ASESINATO;MANABI;PORTOVIEJO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;05:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
11;ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;1/1/23;17:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
12;ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;1/1/23;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
13;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;18:55;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
14;HOMICIDIO;LOS RIOS;BABAHOYO;URBANO;CONJUNTO HABITACIONAL;PRIVADO;1/1/23;22:10;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;63;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero
15;ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;21:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
16;HOMICIDIO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;11:30;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;42;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
17;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/23;06:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
18;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/23;23:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
19;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;2/1/23;01:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;HOMBRE;AFRO;CASADO;ECUADOR;2023;enero
20;ASESINATO;GUAYAS;BALZAR;URBANO;CENTROS Y SUBCENTROS DE SALUD;PRIVADO;1/1/23;22:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
21;ASESINATO;GUAYAS;ALFREDO BAQUERIZO MORENO;URBANO;VIA PUBLICA;PUBLICO;1/1/23;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;enero
22;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;2/1/23;04:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
23;ASESINATO;GUAYAS;SIMON BOLIVAR;URBANO;VIA PUBLICA;PUBLICO;1/1/23;23:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero
